id	name	abstract	data_type	default_task	attribute_type	n_instances	n_attrs	y	area	url	
1	Abalone	Predict the age of abalone from physical measurements	Multivariate	Classification	Categorical, Integer, Real	4177	8	1995	Life	http://archive.ics.uci.edu/ml/datasets/Abalone
2	Adult	Predict whether income exceeds $50K/yr based on census data.  Also known as "Census Income" dataset.	Multivariate	Classification	Categorical, Integer	48842	14	1996	Social	http://archive.ics.uci.edu/ml/datasets/Adult
3	Annealing	Steel annealing data	Multivariate	Classification	Categorical, Integer, Real	798	38		Physical	http://archive.ics.uci.edu/ml/datasets/Annealing
4	Anonymous Microsoft Web Data	Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited.		Recommender-Systems	Categorical	37711	294	1998	Computer	http://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data
5	Arrhythmia	Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.	Multivariate	Classification	Categorical, Integer, Real	452	279	1998	Life	http://archive.ics.uci.edu/ml/datasets/Arrhythmia
6	Artificial Characters	Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet	Multivariate	Classification	Categorical, Integer, Real	6000	7	1992	Computer	http://archive.ics.uci.edu/ml/datasets/Artificial+Characters
7	Audiology (Original)	Nominal audiology dataset from Baylor	Multivariate	Classification	Categorical	226		1987	Life	http://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29
8	Audiology (Standardized)	Standardized version of the original audiology database	Multivariate	Classification	Categorical	226	69	1992	Life	http://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29
9	Auto MPG	Revised from CMU StatLib library, data concerns city-cycle fuel consumption	Multivariate	Regression	Categorical, Real	398	8	1993	Other	http://archive.ics.uci.edu/ml/datasets/Auto+MPG
10	Automobile	From 1985 Ward's Automotive Yearbook	Multivariate	Regression	Categorical, Integer, Real	205	26	1987	Other	http://archive.ics.uci.edu/ml/datasets/Automobile
11	Badges	Badges labeled with a "+" or "-" as a function of a person's name	Univariate, Text	Classification		294	1	1994	Other	http://archive.ics.uci.edu/ml/datasets/Badges
12	Balance Scale	Balance scale weight & distance database	Multivariate	Classification	Categorical	625	4	1994	Social	http://archive.ics.uci.edu/ml/datasets/Balance+Scale
13	Balloons	Data previously used in cognitive psychology experiment; 4 data sets represent different conditions of an experiment	Multivariate	Classification	Categorical	16	4		Social	http://archive.ics.uci.edu/ml/datasets/Balloons
14	Breast Cancer	Breast Cancer Data (Restricted Access)	Multivariate	Classification	Categorical	286	9	1988	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Cancer
15	Breast Cancer Wisconsin (Original)	Original Wisconsin Breast Cancer Database	Multivariate	Classification	Integer	699	10	1992	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29
16	Breast Cancer Wisconsin (Prognostic)	Prognostic Wisconsin Breast Cancer Database	Multivariate	Classification, Regression	Real	198	34	1995	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29
17	Breast Cancer Wisconsin (Diagnostic)	Diagnostic Wisconsin Breast Cancer Database	Multivariate	Classification	Real	569	32	1995	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29
18	Pittsburgh Bridges	Bridges database that has original and numeric-discretized datasets	Multivariate	Classification	Categorical, Integer	108	13	1990	Other	http://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges
19	Car Evaluation	Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods.	Multivariate	Classification	Categorical	1728	6	1997	Other	http://archive.ics.uci.edu/ml/datasets/Car+Evaluation
20	Census Income	Predict whether income exceeds $50K/yr based on census data.  Also known as "Adult" dataset.	Multivariate	Classification	Categorical, Integer	48842	14	1996	Social	http://archive.ics.uci.edu/ml/datasets/Census+Income
21	Chess (King-Rook vs. King-Knight)	Knight Pin Chess End-Game Database Creator	Multivariate, Data-Generator	Classification	Categorical, Integer		22	1988	Game	http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Knight%29
22	Chess (King-Rook vs. King-Pawn)	King+Rook versus King+Pawn on a7 (usually abbreviated KRKPA7).	Multivariate	Classification	Categorical	3196	36	1989	Game	http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Pawn%29
23	Chess (King-Rook vs. King)	Chess Endgame Database for White King and Rook against Black King (KRK).	Multivariate	Classification	Categorical, Integer	28056	6	1994	Game	http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29
24	Chess (Domain Theories)	6 different domain theories for generating legal moves of chess	Domain-Theory						Game	http://archive.ics.uci.edu/ml/datasets/Chess+%28Domain+Theories%29
25	Bach Chorales	Time-series data based on chorales; challenge is to learn generative grammar; data in Lisp	Univariate, Time-Series		Categorical, Integer	100	6		Other	http://archive.ics.uci.edu/ml/datasets/Bach+Chorales
26	Connect-4	Contains connect-4 positions	Multivariate, Spatial	Classification	Categorical	67557	42	1995	Game	http://archive.ics.uci.edu/ml/datasets/Connect-4
27	Credit Approval	This data concerns credit card applications; good mix of attributes	Multivariate	Classification	Categorical, Integer, Real	690	15		Financial	http://archive.ics.uci.edu/ml/datasets/Credit+Approval
28	Japanese Credit Screening	Includes domain theory (generated by talking to Japanese domain experts); data in Lisp	Multivariate, Domain-Theory	Classification	Categorical, Real, Integer	125		1992	Financial	http://archive.ics.uci.edu/ml/datasets/Japanese+Credit+Screening
29	Computer Hardware	Relative CPU Performance Data, described in terms of its cycle time, memory size, etc.	Multivariate	Regression	Integer	209	9	1987	Computer	http://archive.ics.uci.edu/ml/datasets/Computer+Hardware
30	Contraceptive Method Choice	Dataset is a subset of the 1987 National Indonesia Contraceptive Prevalence Survey.	Multivariate	Classification	Categorical, Integer	1473	9	1997	Life	http://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice
31	Covertype	Forest CoverType dataset	Multivariate	Classification	Categorical, Integer	581012	54	1998	Life	http://archive.ics.uci.edu/ml/datasets/Covertype
32	Cylinder Bands	Used in decision tree induction for mitigating process delays known as "cylinder bands" in rotogravure printing	Multivariate	Classification	Categorical, Integer, Real	512	39	1995	Physical	http://archive.ics.uci.edu/ml/datasets/Cylinder+Bands
33	Dermatology	Aim for this dataset is to determine the type of Eryhemato-Squamous Disease.	Multivariate	Classification	Categorical, Integer	366	33	1998	Life	http://archive.ics.uci.edu/ml/datasets/Dermatology
34	Diabetes	This diabetes dataset is from AIM '94	Multivariate, Time-Series		Categorical, Integer		20		Life	http://archive.ics.uci.edu/ml/datasets/Diabetes
35	DGP2 - The Second Data Generation Program	Generates application domains based on specific parameters, number of features, and proportion of positive to negative examples	Data-Generator		Real				Other	http://archive.ics.uci.edu/ml/datasets/DGP2+-+The+Second+Data+Generation+Program
36	Document Understanding	Five concepts, expressed as predicates, to be learned						1994	Other	http://archive.ics.uci.edu/ml/datasets/Document+Understanding
37	EBL Domain Theories	Assorted small-scale domain theories							Computer	http://archive.ics.uci.edu/ml/datasets/EBL+Domain+Theories
38	Echocardiogram	Data for classifying if patients will survive for at least one year after a heart attack	Multivariate	Classification	Categorical, Integer, Real	132	12	1989	Life	http://archive.ics.uci.edu/ml/datasets/Echocardiogram
39	Ecoli	This data contains protein localization sites	Multivariate	Classification	Real	336	8	1996	Life	http://archive.ics.uci.edu/ml/datasets/Ecoli
40	Flags	From Collins Gem Guide to Flags, 1986	Multivariate	Classification	Categorical, Integer	194	30	1990	Other	http://archive.ics.uci.edu/ml/datasets/Flags
41	Function Finding	Cases collected mostly from investigations in physical science; intention is to evaluate function-finding algorithms		Function-Learning	Real	352		1990	Physical	http://archive.ics.uci.edu/ml/datasets/Function+Finding
42	Glass Identification	From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)	Multivariate	Classification	Real	214	10	1987	Physical	http://archive.ics.uci.edu/ml/datasets/Glass+Identification
43	Haberman's Survival	Dataset contains cases from study conducted on the survival of patients who had undergone surgery for breast cancer	Multivariate	Classification	Integer	306	3	1999	Life	http://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival
44	Hayes-Roth	Topic: human subjects study	Multivariate	Classification	Categorical	160	5	1989	Social	http://archive.ics.uci.edu/ml/datasets/Hayes-Roth
45	Heart Disease	4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach	Multivariate	Classification	Categorical, Integer, Real	303	75	1988	Life	http://archive.ics.uci.edu/ml/datasets/Heart+Disease
46	Hepatitis	From G.Gong: CMU; Mostly Boolean or numeric-valued attribute types; Includes cost data (donated by Peter Turney)	Multivariate	Classification	Categorical, Integer, Real	155	19	1988	Life	http://archive.ics.uci.edu/ml/datasets/Hepatitis
47	Horse Colic	Well documented attributes; 368 instances with 28 attributes (continuous, discrete, and nominal); 30% missing values	Multivariate	Classification	Categorical, Integer, Real	368	27	1989	Life	http://archive.ics.uci.edu/ml/datasets/Horse+Colic
48	Housing	Taken from StatLib library	Multivariate	Regression	Categorical, Integer, Real	506	14	1993	Other	http://archive.ics.uci.edu/ml/datasets/Housing
49	ICU	Data set prepared for the use of participants for the 1994 AAAI Spring Symposium on Artificial Intelligence in Medicine.	Multivariate, Time-Series		Real				Life	http://archive.ics.uci.edu/ml/datasets/ICU
50	Image Segmentation	Image data described by high-level numeric-valued attributes, 7 classes	Multivariate	Classification	Real	2310	19	1990	Other	http://archive.ics.uci.edu/ml/datasets/Image+Segmentation
51	Internet Advertisements	This dataset represents a set of possible advertisements on Internet pages.	Multivariate	Classification	Categorical, Integer, Real	3279	1558	1998	Computer	http://archive.ics.uci.edu/ml/datasets/Internet+Advertisements
52	Ionosphere	Classification of radar returns from the ionosphere	Multivariate	Classification	Integer, Real	351	34	1989	Physical	http://archive.ics.uci.edu/ml/datasets/Ionosphere
53	Iris	Famous database; from Fisher, 1936	Multivariate	Classification	Real	150	4	1988	Life	http://archive.ics.uci.edu/ml/datasets/Iris
54	ISOLET	Goal: Predict which letter-name was spoken--a simple classification task.	Multivariate	Classification	Real	7797	617	1994	Computer	http://archive.ics.uci.edu/ml/datasets/ISOLET
55	Kinship	Relational dataset	Relational	Relational-Learning	Categorical	104	12	1990	Social	http://archive.ics.uci.edu/ml/datasets/Kinship
56	Labor Relations	From Collective Bargaining Review	Multivariate		Categorical, Integer, Real	57	16	1988	Social	http://archive.ics.uci.edu/ml/datasets/Labor+Relations
57	LED Display Domain	From Classification and Regression Trees book; We provide here 2 C programs for generating sample databases	Multivariate, Data-Generator	Classification	Categorical		7	1988	Computer	http://archive.ics.uci.edu/ml/datasets/LED+Display+Domain
58	Lenses	Database for fitting contact lenses	Multivariate	Classification	Categorical	24	4	1990	Other	http://archive.ics.uci.edu/ml/datasets/Lenses
59	Letter Recognition	Database of character image features; try to identify the letter	Multivariate	Classification	Integer	20000	16	1991	Computer	http://archive.ics.uci.edu/ml/datasets/Letter+Recognition
60	Liver Disorders	BUPA Medical Research Ltd. database donated by Richard S. Forsyth	Multivariate		Categorical, Integer, Real	345	7	1990	Life	http://archive.ics.uci.edu/ml/datasets/Liver+Disorders
61	Logic Theorist	All code for Logic Theorist	Domain-Theory						Computer	http://archive.ics.uci.edu/ml/datasets/Logic+Theorist
62	Lung Cancer	Lung cancer data; no attribute definitions	Multivariate	Classification	Integer	32	56	1992	Life	http://archive.ics.uci.edu/ml/datasets/Lung+Cancer
63	Lymphography	This lymphography domain was obtained from the University Medical Centre, Institute of Oncology, Ljubljana, Yugoslavia.  (Restricted access)	Multivariate	Classification	Categorical	148	18	1988	Life	http://archive.ics.uci.edu/ml/datasets/Lymphography
64	Mechanical Analysis	Fault diagnosis problem of electromechanical devices; also PUMPS DATA SET is newer version with domain theory and results	Multivariate	Classification	Categorical, Integer, Real	209	8	1990	Computer	http://archive.ics.uci.edu/ml/datasets/Mechanical+Analysis
65	Meta-data	Meta-Data was used in order to give advice about which classification method is appropriate for a particular dataset (taken from results of Statlog project).	Multivariate	Classification	Categorical, Integer, Real	528	22	1996	Other	http://archive.ics.uci.edu/ml/datasets/Meta-data
66	Mobile Robots	Learning concepts from sensor data of a mobile robot; set of data sets	Domain-Theory		Categorical, Integer, Real			1995	Computer	http://archive.ics.uci.edu/ml/datasets/Mobile+Robots
67	Molecular Biology (Promoter Gene Sequences)	E. Coli promoter gene sequences (DNA) with partial domain theory	Sequential, Domain-Theory	Classification	Categorical	106	58	1990	Life	http://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Promoter+Gene+Sequences%29
68	Molecular Biology (Protein Secondary Structure)	From CMU connectionist bench repository; Classifies secondary structure of certain globular proteins	Sequential	Classification	Categorical	128			Life	http://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Protein+Secondary+Structure%29
69	Molecular Biology (Splice-junction Gene Sequences)	Primate splice-junction gene sequences (DNA) with associated imperfect domain theory	Sequential, Domain-Theory	Classification	Categorical	3190	61	1992	Life	http://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Splice-junction+Gene+Sequences%29
70	MONK's Problems	A set of three artificial domains over the same attribute space; Used to test a wide range of induction algorithms	Multivariate	Classification	Categorical	432	7	1992	Other	http://archive.ics.uci.edu/ml/datasets/MONK%27s+Problems
71	Moral Reasoner	Horn-clause model that qualitatively simulates moral reasoning; Theory includes negated literals	Domain-Theory			202		1994	Computer	http://archive.ics.uci.edu/ml/datasets/Moral+Reasoner
72	Multiple Features	This dataset consists of features of handwritten numerals (`0'--`9') extracted from a collection of Dutch utility maps	Multivariate	Classification	Integer, Real	2000	649		Computer	http://archive.ics.uci.edu/ml/datasets/Multiple+Features
73	Mushroom	From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible	Multivariate	Classification	Categorical	8124	22	1987	Life	http://archive.ics.uci.edu/ml/datasets/Mushroom
74	Musk (Version 1)	The goal is to learn to predict whether new molecules will be musks or non-musks	Multivariate	Classification	Integer	476	168	1994	Physical	http://archive.ics.uci.edu/ml/datasets/Musk+%28Version+1%29
75	Musk (Version 2)	The goal is to learn to predict whether new molecules will be musks or non-musks	Multivariate	Classification	Integer	6598	168	1994	Physical	http://archive.ics.uci.edu/ml/datasets/Musk+%28Version+2%29
76	Nursery	Nursery Database was derived from a hierarchical decision model originally developed to rank applications for nursery schools.	Multivariate	Classification	Categorical	12960	8	1997	Social	http://archive.ics.uci.edu/ml/datasets/Nursery
77	Othello Domain Theory	Used in research to generate features for an inductive learning system	Domain-Theory					1991	Game	http://archive.ics.uci.edu/ml/datasets/Othello+Domain+Theory
78	Page Blocks Classification	The problem consists of classifying all the blocks of the page layout of a document that has been detected by a segmentation process.	Multivariate	Classification	Integer, Real	5473	10	1995	Computer	http://archive.ics.uci.edu/ml/datasets/Page+Blocks+Classification
79	Pima Indians Diabetes	From National Institute of Diabetes and Digestive and Kidney Diseases; Includes cost data (donated by Peter Turney)	Multivariate	Classification	Integer, Real	768	8	1990	Life	http://archive.ics.uci.edu/ml/datasets/Pima+Indians+Diabetes
80	Optical Recognition of Handwritten Digits	Two versions of this database available; see folder	Multivariate	Classification	Integer	5620	64	1998	Computer	http://archive.ics.uci.edu/ml/datasets/Optical+Recognition+of+Handwritten+Digits
81	Pen-Based Recognition of Handwritten Digits	Digit database of 250 samples from 44 writers	Multivariate	Classification	Integer	10992	16	1998	Computer	http://archive.ics.uci.edu/ml/datasets/Pen-Based+Recognition+of+Handwritten+Digits
82	Post-Operative Patient	Dataset of patient features	Multivariate	Classification	Categorical, Integer	90	8	1993	Life	http://archive.ics.uci.edu/ml/datasets/Post-Operative+Patient
83	Primary Tumor	From Ljubljana Oncology Institute	Multivariate	Classification	Categorical	339	17	1988	Life	http://archive.ics.uci.edu/ml/datasets/Primary+Tumor
84	Prodigy	Assorted domains like blocksworld, eightpuzzle, and schedworld.	Domain-Theory						Other	http://archive.ics.uci.edu/ml/datasets/Prodigy
85	Qualitative Structure Activity Relationships	Two sets of datasets are given: pyrimidines and triazines	Domain-Theory						Physical	http://archive.ics.uci.edu/ml/datasets/Qualitative+Structure+Activity+Relationships
86	Quadruped Mammals	The file animals.c is a data generator of structured instances representing quadruped animals	Multivariate, Data-Generator	Classification	Real		72	1992	Life	http://archive.ics.uci.edu/ml/datasets/Quadruped+Mammals
87	Servo	Data was from a simulation of a servo system	Multivariate	Regression	Categorical, Integer	167	4	1993	Computer	http://archive.ics.uci.edu/ml/datasets/Servo
88	Shuttle Landing Control	Tiny database; all nominal values	Multivariate	Classification	Categorical	15	6	1988	Physical	http://archive.ics.uci.edu/ml/datasets/Shuttle+Landing+Control
89	Solar Flare	Each class attribute counts the number of solar flares of a certain class that occur in a 24 hour period	Multivariate	Regression	Categorical	1389	10	1989	Physical	http://archive.ics.uci.edu/ml/datasets/Solar+Flare
90	Soybean (Large)	Michalski's famous soybean disease database	Multivariate	Classification	Categorical	307	35	1988	Life	http://archive.ics.uci.edu/ml/datasets/Soybean+%28Large%29
91	Soybean (Small)	Michalski's famous soybean disease database	Multivariate	Classification	Categorical	47	35	1987	Life	http://archive.ics.uci.edu/ml/datasets/Soybean+%28Small%29
92	Challenger USA Space Shuttle O-Ring	Task: predict the number of O-rings that experience thermal distress on a flight at 31 degrees F given data on the previous 23 shuttle flights	Multivariate	Regression	Integer	23	4	1993	Physical	http://archive.ics.uci.edu/ml/datasets/Challenger+USA+Space+Shuttle+O-Ring
93	Low Resolution Spectrometer	From IRAS data -- NASA Ames Research Center	Multivariate	Classification	Integer, Real	531	102	1988	Physical	http://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer
94	Spambase	Classifying Email as Spam or Non-Spam	Multivariate	Classification	Integer, Real	4601	57	1999	Computer	http://archive.ics.uci.edu/ml/datasets/Spambase
95	SPECT Heart	Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal.	Multivariate	Classification	Categorical	267	22	2001	Life	http://archive.ics.uci.edu/ml/datasets/SPECT+Heart
96	SPECTF Heart	Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal.	Multivariate	Classification	Integer	267	44	2001	Life	http://archive.ics.uci.edu/ml/datasets/SPECTF+Heart
97	Sponge	Data on sponges; Attributes in spanish	Multivariate	Clustering	Categorical, Integer	76	45		Life	http://archive.ics.uci.edu/ml/datasets/Sponge
98	Statlog Project	Various Databases: Vehicle silhouttes, Landsat Sattelite, Shuttle, Australian Credit Approval, Heart Disease, Image Segmentation, German Credit						1992	Other	http://archive.ics.uci.edu/ml/datasets/Statlog+Project
99	Student Loan Relational	Student Loan Relational Domain	Domain-Theory			1000		1993	Social	http://archive.ics.uci.edu/ml/datasets/Student+Loan+Relational
100	Teaching Assistant Evaluation	The data consist of evaluations of teaching performance; scores are "low", "medium", or "high"	Multivariate	Classification	Categorical, Integer	151	5	1997	Other	http://archive.ics.uci.edu/ml/datasets/Teaching+Assistant+Evaluation
101	Tic-Tac-Toe Endgame	Binary classification task on possible configurations of tic-tac-toe game	Multivariate	Classification	Categorical	958	9	1991	Game	http://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame
102	Thyroid Disease	10 separate databases from Garavan Institute	Multivariate, Domain-Theory	Classification	Categorical, Real	7200	21	1987	Life	http://archive.ics.uci.edu/ml/datasets/Thyroid+Disease
103	Trains	2 data formats (structured, one-instance-per-line)	Multivariate	Classification	Categorical	10	32	1994	Other	http://archive.ics.uci.edu/ml/datasets/Trains
104	University	Data in original (LISP-readable) form	Multivariate	Classification	Categorical, Integer	285	17	1988	Other	http://archive.ics.uci.edu/ml/datasets/University
105	Congressional Voting Records	1984 United Stated Congressional Voting Records; Classify as Republican or Democrat	Multivariate	Classification	Categorical	435	16	1987	Social	http://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records
106	Water Treatment Plant	Multiple classes predict plant state	Multivariate	Clustering	Integer, Real	527	38	1993	Physical	http://archive.ics.uci.edu/ml/datasets/Water+Treatment+Plant
107	Waveform Database Generator (Version 1)	CART book's waveform domains	Multivariate, Data-Generator	Classification	Real	5000	21	1988	Physical	http://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+1%29
108	Waveform Database Generator (Version 2)	CART book's waveform domains	Multivariate, Data-Generator	Classification	Real	5000	40	1988	Physical	http://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+2%29
109	Wine	Using chemical analysis determine the origin of wines	Multivariate	Classification	Integer, Real	178	13	1991	Physical	http://archive.ics.uci.edu/ml/datasets/Wine
110	Yeast	Predicting the Cellular Localization Sites of Proteins	Multivariate	Classification	Real	1484	8	1996	Life	http://archive.ics.uci.edu/ml/datasets/Yeast
111	Zoo	Artificial, 7 classes of animals	Multivariate	Classification	Categorical, Integer	101	17	1990	Life	http://archive.ics.uci.edu/ml/datasets/Zoo
112	Undocumented	Various datasets without documentation (feel free to explore!)							Other	http://archive.ics.uci.edu/ml/datasets/Undocumented
113	Twenty Newsgroups	This data set consists of 20000 messages taken from 20 newsgroups.	Text			20000		1999	Other	http://archive.ics.uci.edu/ml/datasets/Twenty+Newsgroups
114	Australian Sign Language signs	This data consists of sample of Auslan (Australian Sign Language) signs. Examples of 95 signs were collected from five signers with a total of 6650 sign samples.	Multivariate, Time-Series	Classification	Categorical, Real	6650	15	1999	Other	http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs
115	Australian Sign Language signs (High Quality)	This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers	Multivariate, Time-Series	Classification	Real	2565	22	2002	Other	http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29
116	US Census Data (1990)	The USCensus1990raw data set contains a one percent sample of the Public Use Microdata Samples (PUMS) person records drawn from the full 1990 census sample.	Multivariate	Clustering	Categorical	2458285	68		Social	http://archive.ics.uci.edu/ml/datasets/US+Census+Data+%281990%29
117	Census-Income (KDD)	This data set contains weighted census data extracted from the 1994 and 1995 current population surveys conducted by the U.S. Census Bureau.	Multivariate	Classification	Categorical, Integer	299285	40	2000	Social	http://archive.ics.uci.edu/ml/datasets/Census-Income+%28KDD%29
118	Coil 1999 Competition Data	This data set is from the 1999 Computational Intelligence and Learning (COIL) competition. The data contains measurements of river chemical concentrations and algae densities.	Multivariate		Categorical, Real	340	17	1999	Physical	http://archive.ics.uci.edu/ml/datasets/Coil+1999+Competition+Data
119	Corel Image Features	This dataset contains image features extracted from a Corel image collection. Four sets of features are available based on the color histogram, color histogram layout, color moments, and co-occurence	Multivariate		Real	68040	89	1999	Other	http://archive.ics.uci.edu/ml/datasets/Corel+Image+Features
120	E. Coli Genes	Data giving characteristics of each ORF (potential gene) in the E. coli genome. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided.	Relational					2001	Life	http://archive.ics.uci.edu/ml/datasets/E.+Coli+Genes
121	EEG Database	This data arises from a large study to examine EEG correlates of genetic predisposition to alcoholism. It contains measurements from 64 electrodes placed on the scalp sampled at 256 Hz	Multivariate, Time-Series		Categorical, Integer, Real	122	4	1999	Life	http://archive.ics.uci.edu/ml/datasets/EEG+Database
122	El Nino	The data set contains oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific.	Spatio-temporal		Integer, Real	178080	12	1999	Physical	http://archive.ics.uci.edu/ml/datasets/El+Nino
123	Entree Chicago Recommendation Data	This data contains a record of user interactions with the Entree Chicago restaurant recommendation system.	Transactional, Sequential	Recommender-Systems	Categorical	50672		2000	Other	http://archive.ics.uci.edu/ml/datasets/Entree+Chicago+Recommendation+Data
124	CMU Face Images	This data consists of 640 black and white face images of people taken with varying pose (straight, left, right, up), expression (neutral, happy, sad, angry), eyes (wearing sunglasses or not), and size	Image	Classification	Integer	640		1999	Other	http://archive.ics.uci.edu/ml/datasets/CMU+Face+Images
125	Insurance Company Benchmark (COIL 2000)	This data set used in the CoIL 2000 Challenge contains information on customers of an insurance company. The data consists of 86 variables and includes product usage data and socio-demographic data	Multivariate	Regression, Description	Categorical, Integer	9000	86	2000	Social	http://archive.ics.uci.edu/ml/datasets/Insurance+Company+Benchmark+%28COIL+2000%29
126	Internet Usage Data	This data contains general demographic information on internet users in 1997.	Multivariate		Categorical, Integer	10104	72	1999	Computer	http://archive.ics.uci.edu/ml/datasets/Internet+Usage+Data
127	IPUMS Census Database	This data set contains unweighted PUMS census data from the Los Angeles and Long Beach areas for the years 1970, 1980, and 1990.	Multivariate		Categorical, Integer	256932	61	1999	Social	http://archive.ics.uci.edu/ml/datasets/IPUMS+Census+Database
128	Japanese Vowels	This dataset records 640 time series of 12 LPC cepstrum coefficients taken from nine male speakers.	Multivariate, Time-Series	Classification	Real	640	12		Other	http://archive.ics.uci.edu/ml/datasets/Japanese+Vowels
129	KDD Cup 1998 Data	This is the data set used for The Second International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-98	Multivariate	Regression	Categorical, Integer	191779	481	1998	Other	http://archive.ics.uci.edu/ml/datasets/KDD+Cup+1998+Data
130	KDD Cup 1999 Data	This is the data set used for The Third International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-99	Multivariate	Classification	Categorical, Integer	4000000	42	1999	Computer	http://archive.ics.uci.edu/ml/datasets/KDD+Cup+1999+Data
131	M. Tuberculosis Genes	Data giving characteristics of each ORF (potential gene) in the M. tuberculosis bacterium. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided	Relational					2001	Life	http://archive.ics.uci.edu/ml/datasets/M.+Tuberculosis+Genes
132	Movie	This data set contains a list of over 10000 films including many older, odd, and cult films. There is information on actors, casts, directors, producers, studios, etc.	Multivariate, Relational			10000		1999	Other	http://archive.ics.uci.edu/ml/datasets/Movie
133	MSNBC.com Anonymous Web Data	This data describes the page visits of users who visited msnbc.com on September 28, 1999. Visits are recorded at the level of URL category (see description) and are recorded in time order.	Sequential		Categorical	989818			Computer	http://archive.ics.uci.edu/ml/datasets/MSNBC.com+Anonymous+Web+Data
